casa,cluster_consumo,horario_consumo,semanal,tipo_consumo,cluster_kmeans_final,cluster_dbscan_final
MAC000182,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,12
MAC000183,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,4,9
MAC000184,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
MAC000185,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,13
MAC000186,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000187,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000188,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000189,2,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,-1
MAC000190,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,4,9
MAC000191,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,5,-1
MAC000192,0,consumo_noche_variable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,-1
MAC000193,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000194,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000195,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000196,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000197,1,consumo_madrugada_variable,consumo_entre_semana_variable,picos_altos_variabilidad_alta,5,-1
MAC000198,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,6
MAC000199,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000200,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
