LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001580,7861.291999,12.225959562986002,7.6378222480296385,34.71499999999999,0.132,643,Std,ACORN-D,Affluent,15.513227775,15.063219778571428,12.113838383838385,6.198543954945055,12.180437151366121,12.244069565869566
MAC001581,5676.2499998,8.800387596589148,1.571482606678701,18.273999900000003,0.1669999999999999,645,Std,ACORN-K,Adversity,9.38108889,8.734576921428571,8.604727272727274,8.402679347282609,9.196315217934783,8.642360086117137
MAC001582,1356.742,4.988022058823529,2.321473413873124,13.779000000000002,0.014,272,Std,ACORN-Q,Adversity,7.542807228915662,4.669637362637363,3.1067142857142858,3.120934065934066,5.21723076923077,4.895865979381443
MAC001583,7108.201,11.020466666666668,2.1512766725345944,19.788000000000004,0.108,645,Std,ACORN-Q,Adversity,11.460633334444443,10.462758243956044,10.779090906060608,11.271385867934782,11.867369564130433,10.682440347505423
MAC001584,4112.6809998,6.376249612093023,3.5941175579140494,38.25899989999999,0.046,645,Std,ACORN-D,Affluent,9.002005555,5.730521976923077,6.062939393939394,4.614858696195652,6.937429347826088,6.152264641648591
MAC001585,4542.9039996,7.043262014883721,2.3415924125034593,18.283,0.044,645,Std,ACORN-G,Comfortable,8.661461111666666,7.4682087884615385,6.368737373737374,5.40283695652174,7.325532608695653,6.930598697613883
MAC001586,3785.1029992000003,5.8683767429457365,1.8034011176857276,15.329,0.047,645,ToU,ACORN-L,Adversity,6.814405555555556,5.94907692032967,5.622414141414142,4.995429346195652,6.630570648913044,5.5641605201735365
MAC001587,7486.4970002,11.606972093333333,4.597450466871245,27.881999900000004,0.177,645,Std,ACORN-F,Comfortable,13.461766666666666,12.168571432417583,12.926080806060607,8.527266302717392,11.807445653260869,11.52695661605206
MAC001588,9368.485999,14.524784494573645,4.8360323606399085,43.5250002,0.128,645,Std,ACORN-L,Adversity,16.238483338333335,15.342796695604395,13.570898990909091,12.552451083695654,15.34251630652174,14.198401298481562
MAC001589,3179.3440002,4.929215504186047,2.966735949181046,31.02599989999999,0.0,645,Std,ACORN-E,Affluent,4.795550002222223,4.645346153296703,5.488909088888889,5.03961956576087,5.009108695652174,4.8973275492407815
MAC001590,17898.9259985,27.75027286589147,11.832724529143613,83.68099960000002,0.309,645,ToU,ACORN-E,Affluent,36.55624443277778,26.118912103846153,27.98902018484849,20.620907605434784,26.794163045108693,28.131887197830803
MAC001591,2153.05,3.3380620155038763,0.831636005989799,5.8130000000000015,0.016,645,Std,ACORN-H,Comfortable,4.042061111111111,3.1782527472527473,3.2446060606060607,2.8577228260869565,3.375048913043478,3.3232993492407807
MAC001592,6390.7360009,9.923503106987578,2.8853922703917076,18.9629999,0.083,644,Std,ACORN-G,Comfortable,10.355194449444443,10.109010994505494,10.245545443434343,9.140174863934426,10.21064130326087,9.80864782847826
MAC001593,5769.3679995,8.958645961956522,1.5191537166382008,21.3409999,0.162,644,Std,ACORN-N,Adversity,8.733461108333334,8.937236263186813,8.569595960606062,9.411901639344261,9.568098356830602,8.716715835574838
MAC001594,11050.6699999,17.159425465683228,3.244084627489107,26.773000000000003,0.346,644,Std,ACORN-Q,Adversity,16.479366666111112,17.60170879175824,18.031262626262627,16.916819671584697,18.727224042076504,16.537067245553146
MAC001595,2086.4780001999998,3.234849612713178,1.1233174450965195,7.46,0.02,645,Std,ACORN-E,Affluent,3.7921555561111115,3.3227472532967033,3.2825555555555552,2.577048913043478,3.318983696195652,3.201268980694143
MAC001596,1358.3239996000002,2.7496437238866402,2.0423667244774775,13.392000099999995,0.024,494,ToU,ACORN-E,Affluent,3.8807555477777775,3.0145371917355375,2.863737375757576,1.9607989125000003,2.6898380260563384,2.773769886079546
MAC001597,5352.1790006,8.297951938914728,3.5880305788532407,20.8830001,0.028,645,ToU,ACORN-L,Adversity,10.715855555555557,8.145494506593407,8.346707072727273,6.057179348913044,8.781184782608696,8.105078092407808
MAC001598,10104.1650008,15.68969720621118,2.7056116631539715,26.888,0.175,644,Std,ACORN-Q,Adversity,16.399727777222225,14.996824179670329,16.442444437373737,15.273169403825136,16.436704917486338,15.39316269175705
MAC001599,1897.9310001000001,6.102672026045016,2.4572400720554617,20.627,0.104,311,Std,ACORN-F,Comfortable,7.500955555555556,4.934670330769231,6.784868421052633,5.608315217391305,6.596255556666667,5.901665158371041
MAC001600,2329.1839999000003,3.611137984341086,1.0580292841935863,6.781000000000002,0.023,645,Std,ACORN-U,ACORN-U,3.7810666666666672,3.6470879120879127,3.7142626252525255,3.353858695652174,3.874869564130435,3.505874186767896
