casa,horario_consumo,semanal,tipo_consumo
MAC000263,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000264,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000265,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000266,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000267,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000268,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000269,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000270,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000271,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000272,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000273,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000274,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000275,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000276,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000277,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000278,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000279,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000280,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000281,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000282,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000283,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000284,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000285,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000286,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000287,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000288,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000289,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000290,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000291,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000292,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000293,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000294,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000295,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000296,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000297,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000298,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000299,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000300,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000301,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000302,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000303,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000304,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000305,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000306,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
