LCLid,log_consumo_mediana,intensidad_pico_diario_clip,ratio_invierno_verano_clip,ratio_finde_semana_clip,share_madrugada,share_manana,share_tarde,share_noche,peak_to_avg_period_clip,periodo_pico_sin,periodo_pico_cos
MAC000054,2.351089502053661,1.4707035194210203,1.0064660145381714,1.1265749259565423,0.14700151568681016,0.19702039395639698,0.29828880154585996,0.35768928868136346,1.6098234362670656,-1.0,-1.8369701987210297e-16
MAC000055,2.5671008874139867,2.536483799280656,1.1986198543208624,0.919358243153257,0.15121555002921533,0.2473209456088113,0.28331449426773675,0.3181490099969615,1.472830176723924,-0.7071067811865477,0.7071067811865474
MAC000056,1.9726911717329554,3.8750389517639516,0.9742557563024927,1.1254603652004316,0.07481422501999782,0.2687910524420241,0.3624078224384143,0.2939868998952526,1.7353426094810738,-0.8660254037844386,0.5000000000000001
MAC000057,2.360948336290961,3.3178501617527734,1.0954849435248006,1.0084593129035897,0.19288723658754742,0.26635718001893105,0.26662869385591326,0.2741268894226087,1.6095511880439255,-0.9914448613738105,0.13052619222005127
MAC000058,1.4429109615387867,2.1030521133585323,1.046282803644328,0.8863512158341785,0.10401277725699852,0.2595012732179128,0.2982508499925475,0.3382350991645316,2.35372100643237,-0.9914448613738105,0.13052619222005127
MAC000059,2.9231615807191553,1.9628200847790953,1.0529913421740549,1.040155974662305,0.16118583588838348,0.22535409521668764,0.31178419927718715,0.30167586954711345,1.5971004327257587,-0.9914448613738104,-0.13052619222005163
MAC000060,2.4432162227337915,3.3995176130510836,1.6487367741190186,1.092468940093026,0.08587299526283612,0.17195849198657806,0.282508796742784,0.45965971589231197,2.4108755618832522,-1.0,-1.8369701987210297e-16
MAC000061,1.9211782499789525,1.7261525900183408,1.1219755217448506,1.2019993759265968,0.09668874113792582,0.21263373515742962,0.3107552376368231,0.37992228585515087,1.8790664769513514,-0.7933533402912357,0.6087614290087199
MAC000062,2.5214796300188405,1.7782297857356044,1.1581144266823167,1.059555147173854,0.18530036723696805,0.2450888903994521,0.2571513844109548,0.31245935784611006,1.4964397124755515,-0.8660254037844386,0.5000000000000001
MAC000063,2.6261891746218895,2.443886854473781,1.3642845286834409,0.9820361252943456,0.1818454661377391,0.16072517808659295,0.23254001347968933,0.4248893421759757,2.3063126762474564,-0.7071067811865477,0.7071067811865474
MAC000064,2.5340935606398833,3.012889994679297,1.4422306530737385,1.1553523017533813,0.17558122156634312,0.2788074402748009,0.24341261055122232,0.3021987275144861,1.7525135007618518,-0.9914448613738105,0.13052619222005127
MAC000065,1.905385729302914,4.62295008395861,2.0895350917060123,1.1623877628949868,0.06584019129403111,0.2150886580166105,0.28837757911615985,0.4306935713399154,2.095962464415556,-0.923879532511287,0.38268343236508917
MAC000066,2.184589534756338,2.5546408490629386,1.571262421234418,1.0272340152047459,0.2077113148267087,0.22535884515379936,0.29822353461588846,0.2687063052205984,1.2593694221137055,-0.9914448613738105,0.13052619222005127
MAC000067,2.0919875108483543,2.1298999519686497,1.2266931721943688,1.18013413214456,0.18209564487349736,0.23707450654897116,0.2702641383717444,0.31056571003206657,1.4308489295279652,-0.9914448613738105,0.13052619222005127
MAC000068,2.993179016766274,1.5776387500616085,1.3445531095194156,0.9924499087691955,0.0939584818315785,0.31206527924952027,0.25420865533693054,0.3397675835175169,1.7236035503840068,-0.7071067811865477,0.7071067811865474
MAC000069,2.0400508140749167,5.170622294892176,1.6061815564044197,1.0318065366967526,0.20006503233187295,0.24514443928251467,0.28920603688299473,0.26558449134644,1.2722572808466335,-0.9914448613738104,-0.13052619222005163
MAC000070,1.6534547978508747,2.3448752582272854,1.0725496932471283,1.101967133578628,0.06889886170993538,0.26874539028135874,0.33870396280368514,0.32365178491556124,2.050766707509595,-0.7933533402912349,-0.6087614290087209
MAC000071,2.914928859950385,2.062238694245079,1.4233630719030717,1.2168344377465876,0.08411833918731734,0.24349741037329536,0.2981414385064823,0.37424281182185587,2.152599628557145,-0.9914448613738105,0.13052619222005127
MAC000072,1.639773112230173,3.1507885116358496,1.5140421589012318,1.1994299325594786,0.10633099340531053,0.23290742185589727,0.2542767003440945,0.40648488411443756,2.2838849975398228,-1.0,-1.8369701987210297e-16
